attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
bd_tot (g cm-3)	Grams of oven-dried soil per cubic centimeter, with soil particles greater than 2 mm and roots greater that 1 cm diameter included.	numeric	gramPerCentimeterCubed			
bd_whole (g cm-3)	Grams of oven-dried soil per cubic centimeter, with the content of soil particles >2mm and roots >1cm diameter estimated and subtracted.	numeric	gramPerCentimeterCubed			
bd_other (g cm-3)	Grams of oven-dried soil per cubic centimeter. Please document the method used in the associated Bulk Density Method including the soil particle fraction used.	numeric	gramPerCentimeterCubed			
bdNRCS_prep_code	NRCS bulk density method code	categorical				
cNRCS_prep_code	NRCS soil carbon method code	categorical				
c_method	Provide reference or describe the sample preparation and analysis methods used to determine carbon concentrations, whether Total Carbon, organic C, or Loss on Ignition. Examples include: “Determined total %C from CHN analysis of air dried <2mm fraction”	character				
c_tot (percent)	Percent by weight of carbon in the dried, milled soil sample. This measurement will typically correspond to analytical results from an elemental analyzer.	numeric	percent			
oc (percent)	Percent by weight of carbon in a dried soil sample after acidification with HCl, OR organic carbon as estimated by Walkley-Black Modified Acid-Dichromate (e.g. ‘Organic Carbon’ in the NRCS database). Please document the method in the associated Carbon Analysis Methods.	numeric	percent			
loi (percent)	Percent by weight of the organic content of the <2mm fraction is the organic material lost after ignition. It is reported on a <2 mm base. Please document the method in the associated Carbon Analysis Method.	numeric	percent			
n_tot (percent)	Percent by weight of nitrogen (organic and inorganic) in an oven-dried sample (the laboratory analytical concentration).	numeric	percent			
c_to_n (mass ratio)	Mass ratio of total carbon to total nitrogen, as calculated from the total carbon and total nitrogen concentrations of the bulk layer, fraction, or other sample type.	numeric	mass ratio			
soc (g cm-2)	The data contributor's calculated soil organic carbon stock value for the site, cluster, profile or layer.	numeric	gramPercentimeterSquared			
soc_carbon_flag	SOC method calculation by ISCN. If absent, SOC values provided by data submission.	character				
soc_method	A description of the methods used to calculate (including any gap-filling) site, cluster, profile or layer soil organic carbon stocks.	character				
ph_method	Provide reference or describe the sample preparation and analysis methods used for determinations of pH if not 1:1 soil and distilled water paste or in CaCl2.	character				
ph_cacl	1:2 soil-CaCl2 is the pH of a sample measured in 0.01M CaCl2 at a 1:2 soil:solution ratio.	numeric	number			
ph_h2o	1:1 distilled water and soil paste. If pH was done by a different method, then enter it into one of the other soil pH fields.	numeric	number			
ph_other	pH measurements other than 1:1 soil and distilled water paste or in CaCl2. Please document the method in the associated pH Method.	numeric	number			
caco3 (percent)	Inorganic carbon concentration as measured or estimated by the contributor. Please document the method in the associated Processed Site Organic Carbon Content Method.	numeric	percent			
sand_tot_psa (percent)	Percent by weight of soil particles greater than 0.05 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter. See Gee, G.W. & Bauder, J.W. 1986.	numeric	percent			
silt_tot_psa (percent)	Percent by weight of soil particles in the size range from 0.002 to 0.050 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter. See Gee, G.W. & Bauder, J.W. 1986.	numeric	percent			
clay_tot_psa (percent)	Percent by weight of soil particles less than 0.002 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter. See Gee, G.W. & Bauder, J.W. 1986.	numeric	percent			
wpg2_method	Provide a reference for or describe the methods used to determine coarse fragment content.	character				
wpg2 (percent)	The weight fraction of particles with >2 mm diameter is reported as a gravimetric percent on a whole soil base. Please include metadata in the Coarse Fragments Method column (e.g. estimate or quantitative).	numeric	percent			
cat_exch (cmol H+ kg-1)	Document the extractant solution in the metadata worksheet, Lab Analysis Method.	numeric	cmol_H+_kg-1			
al_dith (specified by al_fe_units)	Dithionate extractable [Al]	numeric	al_fe_units			
al_ox (specified by al_fe_units)	Oxalate extractable [Al]	numeric	al_fe_units			
al_other (specified by al_fe_units)	Other extractable [Al]	numeric	al_fe_units			
fe_dith (specified by al_fe_units)	Dithionate extractable [Fe]	numeric	al_fe_units			
fe_ox (specified by al_fe_units)	Oxalate extractable [Fe]	numeric	al_fe_units			
fe_other (specified by al_fe_units)	Other extractable [Fe]	numeric	al_fe_units			
mn_dith (specified by al_fe_units)	Dithionate extractable [Mn]	numeric	al_fe_units			
mn_ox (specified by al_fe_units)	Oxalate extractable [Mn]	numeric	al_fe_units			
mn_other (specified by al_fe_units)	Other extractable [Mn]	numeric	al_fe_units			
al_fe_units (extract_units)	Controlled vocabulary: extract_units	character				
al_fe_method	Al, Fe, Mn extraction methods	character				
ca_al (specified by bc_units)	Ca:Al (molar)	numeric	bc_units			
ca_ext (specified by bc_units)	Extractable [Ca]	numeric	bc_units			
k_ext (specified by bc_units)	Extractable [K]	numeric	bc_units			
mg_ext (specified by bc_units)	Extractable [Mg]	numeric	bc_units			
na_ext (specified by bc_units)	Extractable [Na]	numeric	bc_units			
bc_units (extract_units)	Controlled vocabulary: extract_units	character				
bc_method	Base cation extraction methods	character				
base_sum (specified by cec_h_units)	CEC, sum of bases	numeric	cec_h_units			
cec_sum (specified by cec_h_units)	CEC, sum of cations	numeric	cec_h_units			
ecec (specified by cec_h_units)	Effective CEC	numeric	cec_h_units			
cec_h_units (extract_units)	Controlled vocabulary: extract_units	character				
bs (percent)	Base saturation	numeric	percent			
bs_sum (percent)	Base saturation, sum of cations	numeric	percent			
h_ext (specified by metal_ext_units)	Extractable acidity	numeric	metal_ext_units			
zn_ext (specified by metal_ext_units)	Extractable [Zn]	numeric	metal_ext_units			
metal_ext_units (extract_units)	Controlled vocabulary: extract_units	character				
metal_ext_method	Extractable metal methods	character				
p_bray (specified by p_units)	Extractable [P] (Bray)	numeric	p_units			
p_ox (specified by p_units)	Extractable [P] (Oxalate)	numeric	p_units			
p_meh (specified by p_units)	Extractable [P] (NZ)	numeric	p_units			
p_other (specified by p_units)	Extractable [P] (Other)	numeric	p_units			
p_units (extract_units)	Controlled vocabulary: extract_units	character				
p_method	Extractable P methods	character				
root_quant_size	Use USDA NRCS conventions from the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p.2-56): Record the average quantity from 3 to 5 representative unit areas. Size classes of roots being considered: very fine, < 1mm; fine, 1 – 2mm diameter. Examples include: "few very fine", "Common very fine", "fine"	character				
root_weight (g)	Dry weight of roots ≤2 mm in diameter in the sample.	numeric	gram			
15n (‰)	Per mille signature of δ15N relative to air (international standard).	numeric	permil			
13c (‰)	Per mille signature of δ13C relative to Pee Dee Belemnite.	numeric	permil			
14c (‰)	Per mille signature of Δ14C relative to NBS Oxalic Acid standard.	numeric	permil			
14c_sigma (‰)	Error estimate for the fraction (eg. standard deviation of analytical reps).	numeric	permil			
14c_age (BP)	Uncalibrated radiocarbon age of bulk soil in layer, as calculated from corrected fraction modern, using the Libby half-life value of 5568 years.	numeric	BP			
14c_age_sigma (BP)	Error estimate for the fraction (eg. standard deviation of analytical reps).	numeric	BP			
fraction_modern	Deviation of the bulk sample or fraction from modern. Modern is defined as 95% of the radiocarbon concentration (in AD 1950) of NBS Oxalic Acid standard, 13C-corrected.	character				
fraction_modern_sigma	Error estimate for an individual layer (eg. standard deviation of analytical reps).	character				
textureClass	Soil texture classification. If no information is provided, this will be automatically generated from %sand, %silt, %clay data (coarse = ≥50% sand; fine = <50% sand).	character				
locator_parent_alias	Contributor data set identifier	character				
