attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
landscape_(landscape)	The type of Landscape on which the site occurs, according to USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p. 3-11) This information can be arranged in hierarchy above Landform and 2D Position to describe the geographic setting of the site. Examples include: “alluvial plain”, “river valley”, “mountain range”, “shore complex” Controlled vocabulary: landscape	categorical				
landform_(landform)	The type of Landform on which the site is located. See USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 3-12 through 3-16). This information can be nested between Landscape and 2D Position to describe the setting of the site. Examples include: “alluvial fan”, “beach”, “escarpment”, “flood plain”, “hill”, “mountain”, “plain”, “sea cliff”, “terrace”, “tidal flat” Controlled vocabulary: landform	categorical				
2d_position_(2d_position)	2-dimensional position of the site on the Landform on which it is located. See USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 3-38 through 3-41). This information supplements Landscape and Landform to describe the geographic setting of the site. Examples include: “summit”, “shoulder”, “backslope”, “toeslope”, “base slope”, “riser”, “mountainflank”, “dip” Controlled vocabulary: 2d_position	categorical				
landform_note	Additional notes about the Landform (e.g. microtopography) in this site.	character				
aspect_deg_(degree)	The numerical observation of aspect at the site. The compass bearing (corrected for declination) that a slope faces, looking downslope. If the site has no slope leave blank. Examples include: A numerical value between 0 and 360, or "no slope"	numeric	degree			
slope_(percent)	The angle of the ground surface through the site and in the direction that overland water would flow. Make observations facing downslope to avoid errors associated with some brands of clinometers. If the site has no slope leave blank.	numeric	percent			
drainagecl_(drainage)	The drainage class of the soil sampled at the site according to the specific terminology employed in the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p. 1-10). Controlled vocabulary: drainage	categorical				
map_(mm)	The arithmetic average of the total annual (liquid) precipitation , preferably taken over the standard "normal" period, 1961-1990.	numeric	millimeter			
mat_(°C)	The arithmetic average of the daily maximum and minimum temperatures for a calendar year, preferably taken over the standard "normal" period, 1961.	numeric	celsius			
runoff_(runoff)	Runoff potential class for the soil, assigned based on local/state/MLRA criteria. Controlled vocabulary: runoff	categorical				
site_perm_(site_perm)	A class rating of the overall ability of air and water to move through the soil profile. The class limits are as defined in the National Soil Survey Handbook. Controlled vocabulary: site_perm	categorical				
site_note	Various notes on and descriptions of the site other than C flux, climate, photo or vegetation. May include local names for physiographic features, which may or may not appear on USGS Topographic Quadrangles. Examples include: "Biliau Hill", "Warner Valley", "Mudsock"	character				
thaw_depth_profile_(cm)	The depth to the frozen surface of the profile. For Alaska sites, this applies only if sampled after August 15 and should be left blank if sampled before.	numeric	centimeter			
locator_alias	Contributor data set identifier	character				
locator_parent_alias	Contributor data set identifier	character				
