data_product,data_table,data_column,data_type,entry
CCRCN,Materials and Methods,coring_method,description,Code indicating what type of device was used to collect soil depth profiles.
CCRCN,Materials and Methods,roots_flag,description,Code indicating whether live roots were included or excluded from carbon assessments.
CCRCN,Materials and Methods,sediment_sieved_flag,description,Code indicating whether or not sediment was sieved prior to carbon measurements.
CCRCN,Materials and Methods,sediment_sieve_size,description,"If sediment was sieved, the size of sieve used."
CCRCN,Materials and Methods,compaction_flag,description,Code indicating how the authors qualified or quantified compaction of the core.
CCRCN,Materials and Methods,dry_bulk_density_temperature,description,Temperature at which samples were dried to measure dry bulk density. This can include either samples that were freeze dried or oven dried.
CCRCN,Materials and Methods,dry_bulk_density_time,description,Time over which samples were dried to measure dry bulk density.
CCRCN,Materials and Methods,dry_bulk_density_sample_volume,description,"Sample volume used for bulk density measurements, if held constant."
CCRCN,Materials and Methods,dry_bulk_density_sample_mass,description,"Sample mass used for bulk density measurements, if held constant."
CCRCN,Materials and Methods,dry_bulk_density_flag,description,Any notable codes regarding how the authors quantified dry bulk density.
CCRCN,Materials and Methods,loss_on_ignition_temperature,description,Temperature at which samples were combusted to estimate fraction organic matter.
CCRCN,Materials and Methods,loss_on_ignition_time,description,Time over which samples were combusted to estimate fraction organic matter.
CCRCN,Materials and Methods,loss_on_ignition_sample_volume,description,"Sample volume used for loss on ignition, if held constant."
CCRCN,Materials and Methods,loss_on_ignition_sample_mass,description,"Sample mass used for loss on ignition, if held constant."
CCRCN,Materials and Methods,loss_on_ignition_flag,description,Common codes regarding loss on ignition methodology.
CCRCN,Materials and Methods,carbon_measured_or_modeled,description,Code indicating whether fraction carbon was measured or estimated as a function of organic matter.
CCRCN,Materials and Methods,carbonates_removed,description,Whether or not carbonates were removed prior to calculating fraction organic carbon.
CCRCN,Materials and Methods,carbonate_removal_method,description,The method used to remove carbonates prior to measuring fraction carbon.
CCRCN,Materials and Methods,fraction_carbon_method,description,"Code indicating the method for which fraction carbon was measured or modeled (Note: regression based models are permitted, but the use of the Bemmelen factor [0.58 gOC gOM-1] is discouraged)."
CCRCN,Materials and Methods,fraction_carbon_type,description,Code indicating whether fraction_carbon refers to organic or total carbon.
CCRCN,Materials and Methods,carbon_profile_notes,description,"Any other submitter defined notes describing methodologies for determining dry bulk density, organic matter fraction, and carbon fraction."
CCRCN,Materials and Methods,cs137_counting_method,description,Code indicating the method used for determining radiocesium activity.
CCRCN,Materials and Methods,pb210_counting_method,description,Code indicating the method used for determining lead 210 activity.
CCRCN,Materials and Methods,excess_pb210_rate,description,Code indicating the mass or accretion rate used in the excess_pb_210_model
CCRCN,Materials and Methods,excess_pb210_model,description,Code indicating the model used to estimate excess lead 210.
CCRCN,Materials and Methods,ra226_assumption,description,Code indicating the assumption used to estimate the core's background 226Ra levels.
CCRCN,Materials and Methods,c14_counting_method,description,Code indicating the method used for determining radiocarbon activity.
CCRCN,Materials and Methods,dating_notes,description,Any submitter defined notes elaborating on the process of dating the core not yet made clear by the coding.
CCRCN,Materials and Methods,age_depth_model_reference,description,Code indicating the reference or 0 year of the age depth model.
CCRCN,Materials and Methods,age_depth_model_notes,description,Any submitter defined notes on how the age depth model was created.
CCRCN,Site Level,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
CCRCN,Site Level,site_id,description,Site identification code unique to each study.
CCRCN,Site Level,site_description,description,Site description including relevant study details and political geographic units. Some of these descriptions can be automated by the ingestion code.
CCRCN,Site Level,site_latitude_max,description,Maximum latitude defining a bounding box for the site in decimal degree World Geodedic System of 1984 (WGS84). This can also be generated automatically by the ingestion code.
CCRCN,Site Level,site_latitude_min,description,Minimum latitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.
CCRCN,Site Level,site_longitude_max,description,Maximum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.
CCRCN,Site Level,site_longitude_min,description,Minimum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.
CCRCN,Site Level,site_boundaries,description,"As an alternative to submitting or automatically generating a bounding box, submitters can include a shapefile (.shp) or keyhole markup language (.kml) documenting the geographic boundaries of the site. This can be converted to and stored in well known text (WTK) format."
CCRCN,Site Level,salinity_notes,description,Any relevant submitter generated notes on how salinity_class was determined.
CCRCN,Site Level,vegetation_class,description,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.
CCRCN,Site Level,inundation_notes,description,Any relevant submitter generated notes on how inundation was determined
CCRCN,Core Level,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
CCRCN,Core Level,site_id,description,Site identification code unique to each study.
CCRCN,Core Level,core_id,description,Core identification code unique to each site.
CCRCN,Core Level,core_date,description,Date of core collection.
CCRCN,Core Level,core_notes,description,Any other relevant submitter generated notes on how cores were collected.
CCRCN,Core Level,core_latitude,description,Positional latitude of the core in decimal degree WGS84.
CCRCN,Core Level,core_longitude,description,Positional longitude of the core in decimal degree WGS84.
CCRCN,Core Level,core_position_accuracy,description,"Accuracy of latitude and longitude measurement, if determined and recorded."
CCRCN,Core Level,core_position_method,description,Code indicating how latitude and longitude were determined.
CCRCN,Core Level,core_position_notes,description,Any relevant submitter generated notes on how latitude and longitude were determined.
CCRCN,Core Level,core_elevation,description,Surface elevation of the core relative to defined datum.
CCRCN,Core Level,core_elevation_datum,description,The datum relative to which the core elevation was measured against (For a complete list of datum names and aliases please refer to the ISO Geodedic Registry https://iso.registry.bespire.eu/register/geodetic/VerticalDatum).
CCRCN,Core Level,core_elevation_accuracy,description,"Accuracy of elevation measurement, if determined and recorded"
CCRCN,Core Level,core_elevation_method,description,Code indicating how elevation was determined
CCRCN,Core Level,core_elevation_notes,description,Any relevant submitter generated notes on how elevation was determined
CCRCN,Core Level,salinity_class,description,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions)."
CCRCN,Core Level,salinity_method,description,Indicate whether salinity_class was determined using a field observation or a measurement
CCRCN,Core Level,vegetation_method,description,Indicate whether vegetation_class was determined using a field observation or a measurement
CCRCN,Core Level,vegetation_notes,description,Any relevant submitter generated notes on how vegetation_class and dominant_species were determined.
CCRCN,Core Level,inundation_class,description,Code based on submitter field observation or measurement indicating how often the coring location is inundated.
CCRCN,Core Level,inundation_method,description,Indicate whether inundation_class was determined using a field observation or a measurement
CCRCN,Core Level,core_length_flag,description,"Indicated whether or not the coring team believes they recovered a full sediment profile, down to bedrock, or other non-marsh interface."
CCRCN,Soil Depth Series,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
CCRCN,Soil Depth Series,site_id,description,Site identification code unique to each study.
CCRCN,Soil Depth Series,core_id,description,Core identification code unique to each site.
CCRCN,Soil Depth Series,depth_min,description,Minimum depth of a sampling increment.
CCRCN,Soil Depth Series,depth_max,description,Maximum depth of a sampling increment.
CCRCN,Soil Depth Series,sample_id,description,"Sample identification unique to the core. This should be used in the case that there are relevant lab specific sample codes, or in the case that there are multiple replicate samples."
CCRCN,Soil Depth Series,dry_bulk_density,description,Dry mass per unit volume of a soil sample. This does not include ash free bulk density.
CCRCN,Soil Depth Series,fraction_organic_matter,description,Mass of organic matter relative to sample dry mass. Ash free bulk density should not be used here but should be expressed as a loss on ignition fraction.
CCRCN,Soil Depth Series,fraction_carbon,description,Mass of carbon relative to sample dry mass.
CCRCN,Soil Depth Series,compaction_fraction,description,Fraction of the sample depth interval reduced due to compaction.
CCRCN,Soil Depth Series,compaction_notes,description,Any submitter generated notes on compaction.
CCRCN,Soil Depth Series,cs137_activity,description,Radioactivity counts per unit dry weight for radiocesium (137Cs).
CCRCN,Soil Depth Series,cs137_activity_sd,description,1 standard deviation of uncertainty associated with cs137_activity.
CCRCN,Soil Depth Series,total_pb210_activity,description,Total radioactivity counts per unit dry weight for excess lead 210 (210Pb).
CCRCN,Soil Depth Series,total_pb210_activity_sd,description,1 standard deviation of uncertainty associated with total_pb210_activity.
CCRCN,Soil Depth Series,ra226_activity,description,Total radioactivity counts per unit dry weight for Radium 226 (226Ra) if measured as part of the 210Pb dating process.
CCRCN,Soil Depth Series,ra226_activity_sd,description,1 standard deviation of uncertainty associated with ra226_activity.
CCRCN,Soil Depth Series,excess_pb210_activity,description,Excess radioactivity counts per unit dry weight for excess lead 210 (210Pb).
CCRCN,Soil Depth Series,excess_pb210_activity_sd,description,1 standard deviation of uncertainty associated with excess_pb210_activity.
CCRCN,Soil Depth Series,c14_age,description,Radiocarbon age as estimated from AMS measurements.
CCRCN,Soil Depth Series,c14_age_sd,description,Estimated uncertainty in c14_age.
CCRCN,Soil Depth Series,c14_material,description,Description of the material selected for radiocarbon (14C) dating.
CCRCN,Soil Depth Series,c14_notes,description,Any relevant submitter generated notes on 14C dating process.
CCRCN,Soil Depth Series,delta_c13,description,The isotopic signature of 13C. This is oftentimes measured along with c14_age and can be useful for analyzing carbon lability and provenance.
CCRCN,Soil Depth Series,be7_activity,description,Radioactivity counts per unit dry weight for 7Be
CCRCN,Soil Depth Series,be7_activity_sd,description,Estimated uncertainty in be7_activity.
CCRCN,Soil Depth Series,am241_activity,description,Radioactivity counts per unit dry weight for 241Am
CCRCN,Soil Depth Series,am241_activity_sd,description,Estimated uncertainty in am241_activity.
CCRCN,Soil Depth Series,marker_date,description,"The age of any other dated depth horizon such as an artificial marker, pollen horizon, pollution horizon, etc."
CCRCN,Soil Depth Series,marker_type,description,Code indicating the type of marker.
CCRCN,Soil Depth Series,marker_notes,description,Any other submitter generated notes about the origin of the marker.
CCRCN,Soil Depth Series,age,description,"Most likely, median, or mean age of the depth interval from submitter generated age depth model."
CCRCN,Soil Depth Series,age_min,description,Minimum age of the depth interval from submitter generated age depth model.
CCRCN,Soil Depth Series,age_max,description,Maximum age of the depth interval from submitter generated age depth model.
CCRCN,Soil Depth Series,age_sd,description,Standard deviation of age estimate from submitter generated age depth model.
CCRCN,Soil Depth Series,depth_interval_notes,description,Any other submitter generated notes specific to the depth interval.
CCRCN,Dominant Species Present,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
CCRCN,Dominant Species Present,site_id,description,Site identification code unique to each study.
CCRCN,Dominant Species Present,core_id,description,Core identification code unique to each site.
CCRCN,Dominant Species Present,species_code,description,Code associated with a species or a vegetation assemblage.
CCRCN,Anthropogenic Impacts Present,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
CCRCN,Anthropogenic Impacts Present,core_id,description,Core identification code unique to each site.
CCRCN,Anthropogenic Impacts Present,site_id,description,Site identification code unique to each study.
CCRCN,Anthropogenic Impacts Present,impact_class,description,Code indicating any major anthropogenic impacts historically and currently affecting the coring location.
CCRCN,Study Level Species Table,genus,description,Genus according to the most up to date classification.
CCRCN,Study Level Species Table,species,description,Species according to the most up to date classification.
CCRCN,Study Level Species Table,sub_species,description,Any nomenclature referring to subspecies special cases.
CCRCN,Study Level Species Table,hybrid,description,Any nomenclature referring to special cases of hybridization.
CCRCN,Study Level Species Table,common_name,description,"Common name associated with the species, especially if it is referred to in any accompanying text."
CCRCN,Study Level Species Table,species_notes,description,Any other submitter defined notes regarding the species.
CCRCN,Study Level Species Table,study_id,description,"Unique identifier for the study made up of the first author's family name, as well as the second author's or 'et al.' if more than three, then publication year spearated by underscores. See worksCited.bib for more detail."
Crowther,Summary,%C,unit,percent
Crowther,Summary,Avg. C Control,unit,degree-C
Crowther,Summary,Avg. C Warming,unit,degree-C
Crowther,Summary,C Difference (Warming-Control),unit,degree-C
Crowther,Summary,Length of Study (years),unit,year
Crowther,Summary,Mean delta T,unit,degree-C
Crowther,Summary,Precipitation (avg. annual mm),unit,mm yr-1
Crowther,Summary,Temperature (avg. annual degrees C),unit,average annual °C
Crowther,Summary,% silt,unit,percent
Crowther,Summary,% sand,unit,percent
Crowther,Summary,% clay,unit,percent
Crowther,Summary,Author Updated % clay,unit,percent
Crowther,Summary,CEC (cmol/kg),unit,cmol H+ kg-1
Crowther,Raw,LAT,unit,degrees
Crowther,Raw,LONG,unit,degrees
Crowther,Raw,Planned Warming,unit,degree-C
Crowther,Raw,Mean delta T,unit,degree-C
Crowther,Raw,Lengths of Study,unit,years
Crowther,Raw,%C,unit,percent
Crowther,Raw,Bulk density,unit,g cm-3
Crowther,Raw,Bulk Density Avg.,unit,g cm-3
Crowther,Raw,total C,unit,g cm-3
Crowther,Raw,total raw C,unit,g cm-3
Crowther,Raw,%N,unit,percent
vanGestel2017,sites,lat,unit,degrees
vanGestel2017,sites,lon,unit,degrees
vanGestel2017,sites,elevation,unit,m
vanGestel2017,sites,mat,unit,degree-C
vanGestel2017,sites,map,unit,mm
vanGestel2017,sites,treatments,control_vocabulary,"T = temperature (warming), H2O = irrigated, D = Drought, co2 = elevated CO2, clipping = biomass removal, etc.)"
vanGestel2017,sites,soil.texture.class,control_vocabulary,"loamy, sandy, sandy clay loam etc."
vanGestel2017,sites,perc.sand,unit,percent
vanGestel2017,sites,perc.silt,unit,percent
vanGestel2017,sites,perc.clay,unit,percent
vanGestel2017,sites,C.pool.abg,unit,g m-2
vanGestel2017,sites,C.pool.bwg,unit,g m-2
vanGestel2017,sites,N.pool.abg,unit,g m-2
vanGestel2017,sites,N.pool.bwg,unit,g m-2
vanGestel2017,sites,P.pool.bwg,unit,g m-2
vanGestel2017,sites,soil.depth.pool,unit,cm
vanGestel2017,sites,Ndep.rate,unit,g N m-2 y-1
vanGestel2017,sites,bulk.density,unit,g mL-1
vanGestel2017,sites,percent.om,unit,percent
vanGestel2017,soc,duration,unit,months
vanGestel2017,soc,trt,control_vocabulary,"T = temperature (warming), H2O = irrigated, D = Drought, co2 = elevated CO2, clipping = biomass removal, etc.)"
vanGestel2017,soc,soil.horizon,unit,"NA"
vanGestel2017,soc,bulk.density,unit,g mL-1
vanGestel2017,bd_calculation,percent.som,unit,percent
vanGestel2017,bd_calculation,bd,unit,g mL-1
vanGestel2017,bd_calculation,soil.horizon,unit,"NA"
vanGestel2017,plant,soilT.depth,unit,cm
vanGestel2017,plant,duration,unit,months
vanGestel2017,plant,soil.horizon,unit,"NA"
vanGestel2017,plant,remove,control_vocabulary,"Yes or No. If yes, the data are duplicated (e.g. if I had raw data versus mean values)."
vanGestel2017,plant,multi.year,control_vocabulary,"Yes or blank. If yes, the data extracted from a paper were data pooled across years."
vanGestel2017,plant,input,control_vocabulary,"Plant biomass. Options are related to aboveground (a), belowground (b), or whole plant (w)"
ISRaD,interstitial,ist_obs_date_y,unit,YYYY
ISRaD,interstitial,ist_obs_date_m,unit,YYYY
ISRaD,interstitial,ist_obs_date_d,unit,YYYY
ISRaD,interstitial,ist_depth,unit,cm
ISRaD,interstitial,ist_time_dur,unit,days
ISRaD,interstitial,ist_temp,unit,°C
ISRaD,interstitial,ist_source_O2,unit,percent
ISRaD,interstitial,ist_source_H2O,unit,percent
ISRaD,interstitial,"NA",unit,ist_concentration_units
ISRaD,interstitial,ist_13c,unit,permille
ISRaD,interstitial,ist_13c_sd,unit,permille
ISRaD,interstitial,ist_18o,unit,permille
ISRaD,interstitial,ist_2h,unit,permille
ISRaD,interstitial,ist_rc_year,unit,year
ISRaD,interstitial,ist_14c,unit,permille
ISRaD,interstitial,ist_14c_sigma,unit,permille
ISRaD,interstitial,ist_14c_sd,unit,permille
ISRaD,metadata,modification_date_y,unit,YYYY
ISRaD,metadata,modification_date_m,unit,MM
ISRaD,metadata,modification_date_y,unit,DD
ISRaD,metadata,contact_orcid_id,unit,ORCID #
ISRaD,metadata,template_version,unit,YYYYMMDDHH
ISRaD,site,site_lat,unit,degrees
ISRaD,site,site_long,unit,degrees
ISRaD,site,site_elevation,unit,m
ISRaD,profile,pro_lat,unit,degrees
ISRaD,profile,pro_long,unit,degrees
ISRaD,profile,pro_elevation,unit,m
ISRaD,profile,pro_reps,unit,positive integer
ISRaD,profile,pro_MAT,unit,°C
ISRaD,profile,pro_MAP,unit,mm yr-1
ISRaD,profile,pro_soil_age,unit,Ky
ISRaD,profile,pro_MAST,unit,°C
ISRaD,profile,pro_MASWC,unit,percent
ISRaD,profile,pro_NPP,unit,g C m-2 yr-1
ISRaD,profile,pro_bedrock_depth,unit,cm
ISRaD,profile,pro_depth_water,unit,cm
ISRaD,profile,pro_thaw_depth,unit,cm
ISRaD,profile,pro_aspect,unit,direction
ISRaD,profile,pro_aspect_deg,unit,degree
ISRaD,profile,pro_slope,unit,percent
ISRaD,profile,pro_soc,unit,g cm-2
ISRaD,profile,pro_soc_sigma,unit,g cm-2
ISRaD,profile,pro_soc_depth,unit,cm
ISRaD,profile,pro_catchment_area,unit,km2
ISRaD,profile,pro_deforested,unit,percent
ISRaD,flux,flx_lat,unit,degrees
ISRaD,flux,flx_long,unit,degrees
